"№","Заведение","Бренд","ИНН","Номер заказа","Тип оплаты","Сумма оплаты","Дата оплаты","Время оплаты","Процентная ставка банка","Процентная ставка BAK","Комиссия банка","Комиссия BAK"
"1","200","200","200","200","200","200","200","200","200","200","200","200"
"2","200","200","200","200","200","200","200","200","200","200","200","200"
"3","200","200","200","200","200","200","200","200","200","200","200","200"
"4","200","200","200","200","200","200","200","200","200","200","200","200"
"5","200","200","200","200","200","200","200","200","200","200","200","200"
"6","200","200","200","200","200","200","200","200","200","200","200","200"
"7","200","200","200","200","200","200","200","200","200","200","200","200"
"8","200","200","200","200","200","200","200","200","200","200","200","200"
"9","200","200","200","200","200","200","200","200","200","200","200","200"
"10","200","200","200","200","200","200","200","200","200","200","200","200"
